"Name","Depth","Description","whenCreated","whenChanged","DistinguishedName"
"MBAM","4",,"5/14/2019 1:35:59 PM","5/19/2021 4:19:03 PM","OU=MBAM,OU=SYSTEMS  ACCOUNTS,OU=IT,OU=MSO,DC=USON,DC=LOCAL"
"UPDATE TEST","3",,"4/21/2015 2:50:46 PM","5/19/2021 4:19:03 PM","OU=UPDATE TEST,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"DISTRIBUTION GROUPS","2",,"7/12/2011 8:55:59 AM","5/19/2021 4:19:03 PM","OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL"
"SERVERS_DISABLED","2",,"2/28/2014 1:38:39 PM","5/19/2021 4:19:03 PM","OU=SERVERS_DISABLED,OU=DISABLED_OBJECTS,DC=USON,DC=LOCAL"
"IT Special Local Admin","4",,"9/13/2016 2:14:49 PM","5/19/2021 4:19:03 PM","OU=IT Special Local Admin,OU=IT Computers,OU=IT,OU=MSO,DC=USON,DC=LOCAL"
"SURGERY SCHEDULING","3",,"7/12/2011 8:58:10 AM","5/19/2021 4:19:03 PM","OU=SURGERY SCHEDULING,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"EventLogTest","4",,"6/4/2019 3:27:01 PM","5/19/2021 4:19:03 PM","OU=EventLogTest,OU=UPDATE TEST,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"Shoretel","4",,"1/13/2012 2:10:41 PM","5/19/2021 4:19:03 PM","OU=Shoretel,OU=VENDORS,OU=IT,OU=MSO,DC=USON,DC=LOCAL"
"TRIAGE","3",,"7/13/2011 10:06:18 AM","5/19/2021 4:19:03 PM","OU=TRIAGE,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"OAKEY2 EXAM ROOMS","4",,"10/14/2016 12:17:28 PM","5/19/2021 4:19:08 PM","OU=OAKEY2 EXAM ROOMS,OU=GENERAL USERS,OU=ORTHO,OU=OMP,DC=USON,DC=LOCAL"
"SNVCS","1",,"8/3/2012 8:18:15 AM","5/19/2021 4:19:03 PM","OU=SNVCS,DC=USON,DC=LOCAL"
"Mountain View","4",,"2/19/2015 8:42:33 AM","5/19/2021 4:19:03 PM","OU=Mountain View,OU=GENERAL USERS,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"OAKEY4 EXAM ROOMS - DEFUNCT","4",,"11/1/2016 2:20:52 PM","5/19/2021 4:19:04 PM","OU=OAKEY4 EXAM ROOMS - DEFUNCT,OU=GENERAL USERS,OU=ORTHO,OU=OMP,DC=USON,DC=LOCAL"
"USERS","2",,"8/3/2012 8:18:30 AM","5/19/2021 4:19:03 PM","OU=USERS,OU=SNVCS,DC=USON,DC=LOCAL"
"Green Valley","4",,"2/11/2015 1:30:33 PM","5/19/2021 4:19:03 PM","OU=Green Valley,OU=GENERAL USERS,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"SCANNER PC","3",,"7/28/2014 2:12:58 PM","5/19/2021 4:19:15 PM","OU=SCANNER PC,OU=SPECIAL,OU=MSO,DC=USON,DC=LOCAL"
"Mountain View","3",,"9/10/2013 12:30:48 PM","5/19/2021 4:19:03 PM","OU=Mountain View,OU=COMPUTERS,OU=USON,DC=USON,DC=LOCAL"
"MTS","4",,"6/19/2019 10:50:37 AM","5/19/2021 4:19:04 PM","OU=MTS,OU=VENDORS,OU=IT,OU=MSO,DC=USON,DC=LOCAL"
"Green Valley","3",,"9/10/2013 12:29:56 PM","5/19/2021 4:19:03 PM","OU=Green Valley,OU=COMPUTERS,OU=USON,DC=USON,DC=LOCAL"
"Gold Ring","4",,"2/17/2015 8:26:04 AM","5/19/2021 4:19:03 PM","OU=Gold Ring,OU=GENERAL USERS,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"GENERAL USERS","3",,"7/12/2011 9:02:21 AM","5/19/2021 4:19:03 PM","OU=GENERAL USERS,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"OAKEY1 EXAM ROOMS","4",,"9/28/2017 12:59:41 PM","5/19/2021 4:19:03 PM","OU=OAKEY1 EXAM ROOMS,OU=GENERAL USERS,OU=PULMONOLOGY,OU=OMP,DC=USON,DC=LOCAL"
"NVCS","2",,"10/10/2016 12:56:45 PM","5/19/2021 4:19:03 PM","OU=NVCS,OU=OMP,DC=USON,DC=LOCAL"
"SCHEDULING","3",,"7/12/2011 8:58:20 AM","5/19/2021 4:19:03 PM","OU=SCHEDULING,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"IM PECOS","4",,"9/29/2017 11:48:30 AM","5/19/2021 4:19:03 PM","OU=IM PECOS,OU=IM COMPUTERS,OU=OCPC,OU=OMP,DC=USON,DC=LOCAL"
"No GPO","3",,"1/24/2012 2:12:48 PM","5/19/2021 4:19:03 PM","OU=No GPO,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"MA","3",,"10/10/2016 12:58:26 PM","5/19/2021 4:19:03 PM","OU=MA,OU=NVCS,OU=OMP,DC=USON,DC=LOCAL"
"MANAGEMENT","3",,"10/10/2016 12:58:34 PM","5/19/2021 4:19:03 PM","OU=MANAGEMENT,OU=NVCS,OU=OMP,DC=USON,DC=LOCAL"
"SMA/Optum","1",,"12/4/2013 11:18:00 AM","8/20/2021 10:40:51 AM","OU=SMA/Optum,DC=USON,DC=LOCAL"
"PATIENT SERVICES","3",,"10/10/2016 12:58:59 PM","5/19/2021 4:19:03 PM","OU=PATIENT SERVICES,OU=NVCS,OU=OMP,DC=USON,DC=LOCAL"
"Management","2",,"12/5/2013 2:14:50 PM","5/19/2021 4:19:03 PM","OU=Management,OU=SMA/Optum,DC=USON,DC=LOCAL"
"OMP","1",,"4/22/2014 2:20:32 PM","8/20/2021 10:46:25 AM","OU=OMP,DC=USON,DC=LOCAL"
"PROVIDERS","3",,"10/10/2016 12:59:08 PM","5/19/2021 4:19:03 PM","OU=PROVIDERS,OU=NVCS,OU=OMP,DC=USON,DC=LOCAL"
"OCPC","2",,"11/27/2013 11:07:18 AM","5/19/2021 4:19:03 PM","OU=OCPC,OU=OMP,DC=USON,DC=LOCAL"
"DOCTORS","4",,"10/10/2016 12:59:22 PM","5/19/2021 4:19:03 PM","OU=DOCTORS,OU=PROVIDERS,OU=NVCS,OU=OMP,DC=USON,DC=LOCAL"
"TEMPS","3",,"10/10/2016 12:59:45 PM","5/19/2021 4:19:03 PM","OU=TEMPS,OU=NVCS,OU=OMP,DC=USON,DC=LOCAL"
"MA","3",,"12/9/2013 10:52:52 AM","5/19/2021 4:19:03 PM","OU=MA,OU=OCPC,OU=OMP,DC=USON,DC=LOCAL"
"NVCS COMPUTERS","3",,"10/10/2016 12:58:15 PM","5/19/2021 4:19:03 PM","OU=NVCS COMPUTERS,OU=NVCS,OU=OMP,DC=USON,DC=LOCAL"
"PATIENT SERVICES","3",,"12/9/2013 10:59:19 AM","5/19/2021 4:19:03 PM","OU=PATIENT SERVICES,OU=OCPC,OU=OMP,DC=USON,DC=LOCAL"
"MANAGEMENT","3",,"1/2/2014 9:07:23 AM","5/19/2021 4:19:03 PM","OU=MANAGEMENT,OU=OCPC,OU=OMP,DC=USON,DC=LOCAL"
"GENERAL USERS","3",,"12/31/2013 10:50:38 AM","5/19/2021 4:19:03 PM","OU=GENERAL USERS,OU=OCPC,OU=OMP,DC=USON,DC=LOCAL"
"MT VIEW","4",,"7/13/2011 10:09:10 AM","5/19/2021 4:19:03 PM","OU=MT VIEW,OU=RADIATION ONCOLOGY,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"Care Everywhere LLC","4","Vendor Baxter Application Support","5/16/2019 12:48:01 PM","5/19/2021 4:19:06 PM","OU=Care Everywhere LLC,OU=VENDORS,OU=IT,OU=MSO,DC=USON,DC=LOCAL"
"MTS SECURITY GROUPS","2",,"12/2/2013 1:36:54 PM","5/19/2021 4:19:03 PM","OU=MTS SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL"
"Test Users","2",,"3/13/2018 2:00:13 PM","5/19/2021 4:19:10 PM","OU=Test Users,OU=Test Environment,DC=USON,DC=LOCAL"
"MTS_OPT","3",,"2/19/2014 2:44:31 PM","5/19/2021 4:19:03 PM","OU=MTS_OPT,OU=MTS SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL"
"MTS_2xUSON","3",,"2/19/2014 2:45:36 PM","5/19/2021 4:19:03 PM","OU=MTS_2xUSON,OU=MTS SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL"
"Test Accounts","3",,"4/2/2019 5:03:46 PM","5/19/2021 4:19:12 PM","OU=Test Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL"
"MTS_USON","3",,"2/25/2014 2:29:26 PM","5/19/2021 4:19:03 PM","OU=MTS_USON,OU=MTS SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL"
"NVCS-FT. APACHE","4",,"2/28/2017 9:13:15 AM","5/19/2021 4:19:08 PM","OU=NVCS-FT. APACHE,OU=NVCS COMPUTERS,OU=NVCS,OU=OMP,DC=USON,DC=LOCAL"
"Finance/Accounting","2",,"3/3/2014 2:46:39 PM","5/19/2021 4:19:03 PM","OU=Finance/Accounting,OU=SMA/Optum,DC=USON,DC=LOCAL"
"TEMPS","3",,"3/21/2014 7:16:50 AM","5/19/2021 4:19:03 PM","OU=TEMPS,OU=OCPC,OU=OMP,DC=USON,DC=LOCAL"
"Baxter","5",,"6/4/2019 3:08:29 PM","5/19/2021 4:19:08 PM","OU=Baxter,OU=NVCS-FT. APACHE,OU=NVCS COMPUTERS,OU=NVCS,OU=OMP,DC=USON,DC=LOCAL"
"Rancho","4",,"1/7/2020 10:59:01 AM","5/19/2021 4:19:10 PM","OU=Rancho,OU=GENERAL USERS,OU=PULMONOLOGY,OU=OMP,DC=USON,DC=LOCAL"
"MEDICAL RECORDS","2",,"7/12/2011 8:58:41 AM","5/19/2021 4:19:03 PM","OU=MEDICAL RECORDS,OU=MSO,DC=USON,DC=LOCAL"
"DO NOT UPDATE","4",,"1/22/2018 8:06:52 PM","5/19/2021 4:19:08 PM","OU=DO NOT UPDATE,OU=No GPO,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"SCCM_SRVS","3",,"1/10/2020 5:01:01 PM","5/19/2021 4:19:10 PM","OU=SCCM_SRVS,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"SCHEDULING","2",,"12/3/2013 12:22:01 PM","5/19/2021 4:19:03 PM","OU=SCHEDULING,OU=MSO,DC=USON,DC=LOCAL"
"MSO_IT_SUPPORT","3",,"4/18/2019 10:22:25 AM","5/24/2021 8:20:27 AM","OU=MSO_IT_SUPPORT,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"Clusters","3",,"12/4/2019 2:19:45 PM","5/19/2021 4:19:10 PM","OU=Clusters,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"CONTACTS","2",,"12/17/2013 3:44:43 PM","5/19/2021 4:19:03 PM","OU=CONTACTS,OU=MSO,DC=USON,DC=LOCAL"
"UDS-SPECIAL","3",,"2/21/2019 2:47:34 PM","5/19/2021 4:19:08 PM","OU=UDS-SPECIAL,OU=COMPUTERS,OU=USON,DC=USON,DC=LOCAL"
"SQL_SERVERS","3",,"11/7/2019 11:45:02 AM","5/19/2021 4:19:10 PM","OU=SQL_SERVERS,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"Anesthesia MDs","2",,"7/9/2014 8:34:21 AM","5/19/2021 4:19:03 PM","OU=Anesthesia MDs,OU=SMA/Optum,DC=USON,DC=LOCAL"
"PULMONOLOGY COMPUTERS","3",,"1/17/2017 12:50:07 PM","5/19/2021 4:19:08 PM","OU=PULMONOLOGY COMPUTERS,OU=PULMONOLOGY,OU=OMP,DC=USON,DC=LOCAL"
"MicrosoftEndpointManagementServers","3",,"2/13/2020 3:43:10 PM","5/19/2021 4:19:10 PM","OU=MicrosoftEndpointManagementServers,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"Image PCs","4",,"7/9/2014 2:29:24 PM","5/19/2021 4:19:03 PM","OU=Image PCs,OU=GENERAL USERS,OU=USERS,OU=USON,DC=USON,DC=LOCAL"
"Medical Records Warehouse","3",,"2/18/2020 9:17:39 AM","5/19/2021 4:19:08 PM","OU=Medical Records Warehouse,OU=MSO COMPUTERS,OU=MSO,DC=USON,DC=LOCAL"
"APPLICATIONS","6",,"6/12/2020 3:33:58 PM","5/19/2021 4:19:12 PM","OU=APPLICATIONS,OU=VIRTUAL,OU=Servers,OU=NV750 - Switch NAP7,OU=MSO,OU=NDA,DC=USON,DC=LOCAL"
"Sierra IT","2",,"7/24/2019 10:59:13 AM","5/19/2021 4:19:08 PM","OU=Sierra IT,OU=SMA/Optum,DC=USON,DC=LOCAL"
"O365-TESTING","3",,"5/5/2020 10:44:16 AM","5/19/2021 4:19:12 PM","OU=O365-TESTING,OU=COMPUTERS,OU=USON,DC=USON,DC=LOCAL"
"IT Contacts","3",,"7/15/2014 9:22:02 AM","5/19/2021 4:19:03 PM","OU=IT Contacts,OU=IT,OU=MSO,DC=USON,DC=LOCAL"
"OMS-Tenaya","3",,"9/10/2013 12:31:32 PM","5/19/2021 4:19:08 PM","OU=OMS-Tenaya,OU=MSO COMPUTERS,OU=MSO,DC=USON,DC=LOCAL"
"USONGR Local Admin","4",,"8/21/2014 8:29:10 AM","5/19/2021 4:19:12 PM","OU=USONGR Local Admin,OU=Gold Ring,OU=COMPUTERS,OU=USON,DC=USON,DC=LOCAL"
"NetAppSVM","3",,"6/19/2020 11:50:11 AM","5/19/2021 4:19:12 PM","OU=NetAppSVM,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"COMPUTERS_DISABLED","2",,"9/20/2011 2:13:58 PM","5/19/2021 4:19:08 PM","OU=COMPUTERS_DISABLED,OU=DISABLED_OBJECTS,DC=USON,DC=LOCAL"
"MSOSSRS","3",,"3/2/2020 8:49:38 AM","5/19/2021 4:19:12 PM","OU=MSOSSRS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL"
"RDS Test","5",,"3/10/2020 1:29:39 PM","5/19/2021 4:19:12 PM","OU=RDS Test,OU=RemoteDesktopSessionHosts,OU=RemoteDesktopServers,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"MDT","4",,"7/25/2019 3:53:15 PM","5/19/2021 4:19:08 PM","OU=MDT,OU=SYSTEMS  ACCOUNTS,OU=IT,OU=MSO,DC=USON,DC=LOCAL"
"MSOSSRS Reports","4",,"3/2/2020 8:50:33 AM","5/19/2021 4:19:12 PM","OU=MSOSSRS Reports,OU=MSOSSRS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL"
"TEST for RemoteDesktopSessionHost","4",,"6/22/2020 12:21:43 PM","5/19/2021 4:19:14 PM","OU=TEST for RemoteDesktopSessionHost,OU=RemoteDesktopServers,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"Users","5",,"7/25/2019 4:50:02 PM","5/19/2021 4:19:08 PM","OU=Users,OU=MDT,OU=SYSTEMS  ACCOUNTS,OU=IT,OU=MSO,DC=USON,DC=LOCAL"
"MSOSSRS Site","4",,"3/2/2020 8:50:20 AM","5/19/2021 4:19:12 PM","OU=MSOSSRS Site,OU=MSOSSRS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL"
"NetAppAVServers","3",,"6/30/2020 1:24:27 PM","5/19/2021 4:19:13 PM","OU=NetAppAVServers,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"Admin","6",,"7/25/2019 4:50:22 PM","5/19/2021 4:19:08 PM","OU=Admin,OU=Users,OU=MDT,OU=SYSTEMS  ACCOUNTS,OU=IT,OU=MSO,DC=USON,DC=LOCAL"
"SPECIAL","2",,"4/22/2014 2:42:04 PM","6/3/2021 7:53:37 AM","OU=SPECIAL,OU=MSO,DC=USON,DC=LOCAL"
"OptumCare NV","2",,"3/16/2020 12:34:39 PM","5/19/2021 4:19:12 PM","OU=OptumCare NV,OU=SMA/Optum,DC=USON,DC=LOCAL"
"SQL Cluster Servers","4",,"6/16/2020 4:51:30 PM","5/19/2021 4:19:14 PM","OU=SQL Cluster Servers,OU=SQL_SERVERS,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"Service","6",,"7/25/2019 4:50:12 PM","5/19/2021 4:19:08 PM","OU=Service,OU=Users,OU=MDT,OU=SYSTEMS  ACCOUNTS,OU=IT,OU=MSO,DC=USON,DC=LOCAL"
"NEXTMD","3",,"7/29/2014 9:43:10 AM","5/19/2021 4:19:03 PM","OU=NEXTMD,OU=SPECIAL,OU=MSO,DC=USON,DC=LOCAL"
"Contractor","3",,"3/16/2020 12:34:50 PM","5/19/2021 4:19:12 PM","OU=Contractor,OU=OptumCare NV,OU=SMA/Optum,DC=USON,DC=LOCAL"
"SERVICEACCOUNTS","4",,"7/20/2020 10:07:08 AM","5/19/2021 4:19:14 PM","OU=SERVICEACCOUNTS,OU=NV750 - Switch NAP7,OU=MSO,OU=NDA,DC=USON,DC=LOCAL"
"Groups","5",,"7/25/2019 4:49:15 PM","5/19/2021 4:19:08 PM","OU=Groups,OU=MDT,OU=SYSTEMS  ACCOUNTS,OU=IT,OU=MSO,DC=USON,DC=LOCAL"
"HQM Portal","3",,"8/1/2014 2:12:22 PM","5/19/2021 4:19:03 PM","OU=HQM Portal,OU=SPECIAL,OU=MSO,DC=USON,DC=LOCAL"
"VPN REPORTS","4",,"3/19/2020 4:23:22 PM","5/19/2021 4:19:12 PM","OU=VPN REPORTS,OU=Pulse VPN,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL"
"Permissions","6",,"7/25/2019 4:05:57 PM","5/19/2021 4:19:08 PM","OU=Permissions,OU=Groups,OU=MDT,OU=SYSTEMS  ACCOUNTS,OU=IT,OU=MSO,DC=USON,DC=LOCAL"
"RDSSessionHosts","7",,"7/21/2020 9:43:43 AM","5/19/2021 4:19:14 PM","OU=RDSSessionHosts,OU=RDSSERVERS,OU=VIRTUAL,OU=Servers,OU=NV750 - Switch NAP7,OU=MSO,OU=NDA,DC=USON,DC=LOCAL"
"VPN REPORT USERS","4",,"3/26/2020 10:38:15 AM","5/19/2021 4:19:12 PM","OU=VPN REPORT USERS,OU=Pulse VPN,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL"
"Gold Ring","3",,"8/21/2014 8:28:20 AM","5/19/2021 4:19:03 PM","OU=Gold Ring,OU=COMPUTERS,OU=USON,DC=USON,DC=LOCAL"
"Role","6",,"7/25/2019 4:06:05 PM","5/19/2021 4:19:08 PM","OU=Role,OU=Groups,OU=MDT,OU=SYSTEMS  ACCOUNTS,OU=IT,OU=MSO,DC=USON,DC=LOCAL"
"NETAPP","6",,"7/27/2020 7:59:42 AM","5/19/2021 4:19:14 PM","OU=NETAPP,OU=VIRTUAL,OU=Servers,OU=NV750 - Switch NAP7,OU=MSO,OU=NDA,DC=USON,DC=LOCAL"
"FSLogix","3",,"4/23/2020 10:27:47 AM","5/19/2021 4:19:12 PM","OU=FSLogix,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL"
"Users in Training","2",,"9/22/2014 3:19:50 PM","5/19/2021 4:19:03 PM","OU=Users in Training,OU=SMA/Optum,DC=USON,DC=LOCAL"
"Test Computers","2",,"9/20/2016 1:58:50 PM","5/19/2021 4:19:08 PM","OU=Test Computers,OU=Test Environment,DC=USON,DC=LOCAL"
"NetAppSVM","7",,"7/27/2020 7:59:58 AM","5/19/2021 4:19:14 PM","OU=NetAppSVM,OU=NETAPP,OU=VIRTUAL,OU=Servers,OU=NV750 - Switch NAP7,OU=MSO,OU=NDA,DC=USON,DC=LOCAL"
"UHG Help","4",,"10/2/2014 12:15:17 PM","5/19/2021 4:19:03 PM","OU=UHG Help,OU=VENDORS,OU=IT,OU=MSO,DC=USON,DC=LOCAL"
"AppLockdown","4",,"4/23/2020 10:28:03 AM","5/19/2021 4:19:12 PM","OU=AppLockdown,OU=FSLogix,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL"
"EIS Compliance","3",,"7/30/2019 9:23:21 AM","5/19/2021 4:19:08 PM","OU=EIS Compliance,OU=Test Computers,OU=Test Environment,DC=USON,DC=LOCAL"
"NetAppVScan","7",,"7/27/2020 8:00:21 AM","5/19/2021 4:19:14 PM","OU=NetAppVScan,OU=NETAPP,OU=VIRTUAL,OU=Servers,OU=NV750 - Switch NAP7,OU=MSO,OU=NDA,DC=USON,DC=LOCAL"
"ORTHO","2",,"10/31/2016 12:44:02 PM","5/19/2021 4:19:03 PM","OU=ORTHO,OU=OMP,DC=USON,DC=LOCAL"
"PDFStudio11","5",,"4/23/2020 10:28:58 AM","5/19/2021 4:19:12 PM","OU=PDFStudio11,OU=AppLockdown,OU=FSLogix,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL"
"FILESERVERS","6",,"6/12/2020 3:34:07 PM","7/9/2021 9:00:38 AM","OU=FILESERVERS,OU=VIRTUAL,OU=Servers,OU=NV750 - Switch NAP7,OU=MSO,OU=NDA,DC=USON,DC=LOCAL"
"PULMONOLOGY LAPTOPS","4",,"2/16/2018 9:16:40 AM","5/19/2021 4:19:08 PM","OU=PULMONOLOGY LAPTOPS,OU=PULMONOLOGY COMPUTERS,OU=PULMONOLOGY,OU=OMP,DC=USON,DC=LOCAL"
"Optum Care","2",,"6/11/2020 4:02:57 PM","5/19/2021 4:19:12 PM","OU=Optum Care,OU=NDA,DC=USON,DC=LOCAL"
"NTFSPermissions","7","Permissions per share","7/28/2020 3:06:34 PM","5/19/2021 4:19:14 PM","OU=NTFSPermissions,OU=FILESERVERS,OU=VIRTUAL,OU=Servers,OU=NV750 - Switch NAP7,OU=MSO,OU=NDA,DC=USON,DC=LOCAL"
"MDT","4",,"2/28/2020 4:29:10 PM","5/19/2021 4:19:08 PM","OU=MDT,OU=MSO_IT_SUPPORT,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"Pulmonology","3",,"10/26/2020 8:21:00 AM","5/19/2021 4:19:12 PM","OU=Pulmonology,OU=Optum Care,OU=NDA,DC=USON,DC=LOCAL"
"Sharecare","4","Vendor Medical Records Sharecare","9/19/2019 10:10:19 AM","5/19/2021 4:19:10 PM","OU=Sharecare,OU=VENDORS,OU=IT,OU=MSO,DC=USON,DC=LOCAL"
"AGPM","5","DO NOT USE!","8/6/2020 4:39:51 PM","9/24/2021 2:03:38 PM","OU=AGPM,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL"
"NV009 - OCLA Charleston-Rancho","4","USON Charleston/Rancho","6/11/2020 3:38:48 PM","5/19/2021 4:19:12 PM","OU=NV009 - OCLA Charleston-Rancho,OU=Pulmonology,OU=Optum Care,OU=NDA,DC=USON,DC=LOCAL"
"Referral Email Accounts","3",,"10/8/2019 9:39:04 AM","5/19/2021 4:19:10 PM","OU=Referral Email Accounts,OU=NVCS,OU=OMP,DC=USON,DC=LOCAL"
"JBE ROCNV SUPPORT","4",,"8/13/2020 7:47:52 AM","5/19/2021 4:19:14 PM","OU=JBE ROCNV SUPPORT,OU=VENDORS,OU=IT,OU=MSO,DC=USON,DC=LOCAL"
"Computers","5",,"6/11/2020 4:15:22 PM","5/19/2021 4:19:12 PM","OU=Computers,OU=NV009 - OCLA Charleston-Rancho,OU=Pulmonology,OU=Optum Care,OU=NDA,DC=USON,DC=LOCAL"
"IT Laptops","4",,"3/11/2015 2:28:40 PM","7/26/2021 6:10:58 AM","OU=IT Laptops,OU=IT Computers,OU=IT,OU=MSO,DC=USON,DC=LOCAL"
"Groups","5",,"8/25/2020 2:37:17 PM","5/19/2021 4:19:14 PM","OU=Groups,OU=Billing,OU=NV017 - MSO Office Tenaya,OU=MSO,OU=NDA,DC=USON,DC=LOCAL"
"Urology Specialists","2","USON","6/11/2020 4:02:43 PM","5/19/2021 4:19:12 PM","OU=Urology Specialists,OU=NDA,DC=USON,DC=LOCAL"
"VOIP_SRVS","5",,"6/6/2019 11:26:41 AM","5/19/2021 4:19:10 PM","OU=VOIP_SRVS,OU=DO NOT UPDATE,OU=No GPO,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"Groups","5",,"8/25/2020 2:37:31 PM","5/19/2021 4:19:14 PM","OU=Groups,OU=Records,OU=NV022 - Records Warehouse,OU=MSO,OU=NDA,DC=USON,DC=LOCAL"
"NV102 - USON GoldRing","3","USON GoldRing","6/11/2020 3:38:44 PM","5/19/2021 4:19:12 PM","OU=NV102 - USON GoldRing,OU=Urology Specialists,OU=NDA,DC=USON,DC=LOCAL"
"BACKUP_SERVERS","3",,"10/18/2019 12:24:05 PM","5/19/2021 4:19:10 PM","OU=BACKUP_SERVERS,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"Groups","4",,"8/25/2020 2:38:00 PM","5/19/2021 4:19:14 PM","OU=Groups,OU=NV102 - USON GoldRing,OU=Urology Specialists,OU=NDA,DC=USON,DC=LOCAL"
"Computers","4",,"6/11/2020 4:16:00 PM","5/19/2021 4:19:12 PM","OU=Computers,OU=NV102 - USON GoldRing,OU=Urology Specialists,OU=NDA,DC=USON,DC=LOCAL"
"NV054 - OCOS Ortho Oakey","4","OCOS Ortho Oakey","6/11/2020 3:38:52 PM","5/19/2021 4:19:15 PM","OU=NV054 - OCOS Ortho Oakey,OU=Orthopaedics,OU=Optum Care,OU=NDA,DC=USON,DC=LOCAL"
"IIS Servers","3",,"11/11/2019 8:32:41 AM","5/19/2021 4:19:10 PM","OU=IIS Servers,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"Groups","5",,"8/25/2020 2:38:07 PM","5/19/2021 4:19:14 PM","OU=Groups,OU=NV009 - OCLA Charleston-Rancho,OU=Pulmonology,OU=Optum Care,OU=NDA,DC=USON,DC=LOCAL"
"NV017 - MSO Office Tenaya","3","MSO Office Tenaya","6/11/2020 3:38:55 PM","5/19/2021 4:19:12 PM","OU=NV017 - MSO Office Tenaya,OU=MSO,OU=NDA,DC=USON,DC=LOCAL"
"Computers","5",,"10/26/2020 10:08:03 AM","5/19/2021 4:19:15 PM","OU=Computers,OU=NV054 - OCOS Ortho Oakey,OU=Orthopaedics,OU=Optum Care,OU=NDA,DC=USON,DC=LOCAL"
"CONTACTS","2",,"11/21/2019 9:14:26 AM","5/19/2021 4:19:10 PM","OU=CONTACTS,OU=OMP,DC=USON,DC=LOCAL"
"InformationTechnology","4",,"6/11/2020 3:33:12 PM","6/28/2021 8:49:54 AM","OU=InformationTechnology,OU=NV048 - MSO IT Office,OU=MSO,OU=NDA,DC=USON,DC=LOCAL"
"Billing","4",,"6/11/2020 4:19:12 PM","5/19/2021 4:19:12 PM","OU=Billing,OU=NV017 - MSO Office Tenaya,OU=MSO,OU=NDA,DC=USON,DC=LOCAL"
"Groups","5",,"10/26/2020 10:08:16 AM","5/19/2021 4:19:15 PM","OU=Groups,OU=NV054 - OCOS Ortho Oakey,OU=Orthopaedics,OU=Optum Care,OU=NDA,DC=USON,DC=LOCAL"
"MSO RDS 2016","5",,"10/28/2019 1:50:23 PM","5/19/2021 4:19:10 PM","OU=MSO RDS 2016,OU=TS FOLDER REDIRECTION,OU=TERMINAL SERVERS,OU=SERVERS,OU=USON,DC=USON,DC=LOCAL"
"Groups","5",,"8/25/2020 2:37:39 PM","5/19/2021 4:19:14 PM","OU=Groups,OU=InformationTechnology,OU=NV048 - MSO IT Office,OU=MSO,OU=NDA,DC=USON,DC=LOCAL"
"Computers","5",,"6/11/2020 4:14:06 PM","5/19/2021 4:19:12 PM","OU=Computers,OU=Billing,OU=NV017 - MSO Office Tenaya,OU=MSO,OU=NDA,DC=USON,DC=LOCAL"
