"Name","AdminCount","GroupCategory","GroupScope","ManagedBy","SID","SIDHistory","Description","whenCreated","whenChanged","DistinguishedName","CanonicalName"
"Compliance Management",,"Security","Universal","Organization Management","S-1-5-21-2571279217-2041782082-3149958405-8136","","This role group will allow a specified user, responsible for compliance, to properly configure and manage compliance settings within Exchange in accordance with their policy.","10/23/2019 3:48:01 PM","5/19/2021 4:19:10 PM","CN=Compliance Management,OU=Microsoft Exchange Security Groups,DC=USON,DC=LOCAL","USON.LOCAL/Microsoft Exchange Security Groups/Compliance Management"
"Mountain West Region Technician Team",,"Distribution","Universal","Sean Admin","S-1-5-21-2571279217-2041782082-3149958405-9150","","","2/7/2020 2:46:43 PM","9/27/2021 2:24:12 PM","CN=Mountain West Region Technician Team,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Mountain West Region Technician Team"
"ROCNV Terminal Sever",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-6556","","VPN Role Mapping to ROCNV TS","4/4/2019 10:22:13 AM","5/19/2021 4:19:06 PM","CN=ROCNV Terminal Sever,OU=ROCNV SECURITY GROUPS,OU=ROCNV,OU=OMP,DC=USON,DC=LOCAL","USON.LOCAL/OMP/ROCNV/ROCNV SECURITY GROUPS/ROCNV Terminal Sever"
"USON MID-LEVEL",,"Distribution","Universal","","S-1-5-21-2571279217-2041782082-3149958405-5163","","","9/12/2016 1:53:03 PM","5/19/2021 4:19:15 PM","CN=USON MID-LEVEL,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/USON MID-LEVEL"
"UHGLOCALADMIN",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-3885","","Local Admin For UHG Help","10/6/2014 8:13:41 AM","5/19/2021 4:19:06 PM","CN=UHGLOCALADMIN,OU=UHG Help,OU=VENDORS,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/VENDORS/UHG Help/UHGLOCALADMIN"
"support 1",,"Distribution","Universal","Rich Espinosa","S-1-5-21-2571279217-2041782082-3149958405-8662","","","2/12/2020 2:17:18 PM","9/27/2021 2:24:12 PM","CN=support 1,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/support 1"
"Security Reader",,"Security","Universal","Organization Management","S-1-5-21-2571279217-2041782082-3149958405-8137","","Membership in this role group is synchronized across services and managed centrally. This role group is not manageable through the administrator portals. Members of this role group may include cross-service administrators, as well as external partner groups and Microsoft Support. By default, this group may not be assigned any roles. However, it will be a member of the Security Reader role groups and will inherit the capabilities of that role group.","10/23/2019 3:48:01 PM","5/19/2021 4:19:10 PM","CN=Security Reader,OU=Microsoft Exchange Security Groups,DC=USON,DC=LOCAL","USON.LOCAL/Microsoft Exchange Security Groups/Security Reader"
"NVCS MEDICAL RECORDS",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-6092","","","8/27/2018 8:43:27 AM","10/4/2021 7:29:26 AM","CN=NVCS MEDICAL RECORDS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/NVCS MEDICAL RECORDS"
"MBAM Helpdesk",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-4518","","","5/14/2019 3:42:53 PM","5/19/2021 4:19:06 PM","CN=MBAM Helpdesk,OU=MBAM,OU=SYSTEMS ACCOUNTS,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/SYSTEMS  ACCOUNTS/MBAM/MBAM Helpdesk"
"KLOperators",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8206","","KLOperators","2/12/2020 2:55:47 PM","5/19/2021 4:19:10 PM","CN=KLOperators,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/KLOperators"
"ORTHO MANAGERS",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-4397","","","1/16/2019 9:41:12 AM","9/27/2021 3:26:09 PM","CN=ORTHO MANAGERS,OU=MANAGEMENT,OU=ORTHO,OU=OMP,DC=USON,DC=LOCAL","USON.LOCAL/OMP/ORTHO/MANAGEMENT/ORTHO MANAGERS"
"MBAM Database Read-Only",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-4521","","","5/14/2019 3:47:11 PM","5/19/2021 4:19:06 PM","CN=MBAM Database Read-Only,OU=MBAM,OU=SYSTEMS ACCOUNTS,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/SYSTEMS  ACCOUNTS/MBAM/MBAM Database Read-Only"
"KLAdmins",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8205","","KLAdmins","2/12/2020 2:55:47 PM","5/19/2021 4:19:14 PM","CN=KLAdmins,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/KLAdmins"
"Security Administrator",,"Security","Universal","Organization Management","S-1-5-21-2571279217-2041782082-3149958405-8138","","Membership in this role group is synchronized across services and managed centrally. This role group is not manageable through the administrator portals. Members of this role group may include cross-service administrators, as well as external partner groups and Microsoft Support. By default, this group may not be assigned any roles. However, it will be a member of the Security Administrators role groups and will inherit the capabilities of that role group.","10/23/2019 3:48:01 PM","5/19/2021 4:19:10 PM","CN=Security Administrator,OU=Microsoft Exchange Security Groups,DC=USON,DC=LOCAL","USON.LOCAL/Microsoft Exchange Security Groups/Security Administrator"
"MBAM Database Read-Write",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-4522","","","5/14/2019 3:47:37 PM","5/19/2021 4:19:06 PM","CN=MBAM Database Read-Write,OU=MBAM,OU=SYSTEMS ACCOUNTS,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/SYSTEMS  ACCOUNTS/MBAM/MBAM Database Read-Write"
"MSODC04 $ Acronis Remote Users",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-9152","","Members are allowed to remotely connect to the machine by using Acronis Backup Management Console.","2/13/2020 8:55:02 AM","5/19/2021 4:19:10 PM","CN=MSODC04 $ Acronis Remote Users,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/MSODC04 $ Acronis Remote Users"
"DnsAdmins",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-1105","","DNS Administrators Group","7/11/2011 12:34:32 PM","5/19/2021 4:19:06 PM","CN=DnsAdmins,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/DnsAdmins"
"Managed Availability Servers",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-8139","","This group contains all the Managed Availability servers. This group shouldn't be deleted.","10/23/2019 3:48:02 PM","5/19/2021 4:19:17 PM","CN=Managed Availability Servers,OU=Microsoft Exchange Security Groups,DC=USON,DC=LOCAL","USON.LOCAL/Microsoft Exchange Security Groups/Managed Availability Servers"
"MBAM Advanced Helpdesk",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-4519","","","5/14/2019 3:43:04 PM","5/19/2021 4:19:08 PM","CN=MBAM Advanced Helpdesk,OU=MBAM,OU=SYSTEMS ACCOUNTS,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/SYSTEMS  ACCOUNTS/MBAM/MBAM Advanced Helpdesk"
"DHCP Users",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-1107","","Members who have view-only access to the DHCP service","7/11/2011 12:44:43 PM","5/19/2021 4:19:10 PM","CN=DHCP Users,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/DHCP Users"
"PULMO MID-LEVEL",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-5605","","","9/22/2017 11:03:53 AM","5/19/2021 4:19:15 PM","CN=PULMO MID-LEVEL,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/PULMO MID-LEVEL"
"MSO ALLSCRIPTS SUPPORT",,"Distribution","Universal","Dax Admin","S-1-5-21-2571279217-2041782082-3149958405-5976","","Allscripts support Distro Group - Per Karyn Larkin","6/20/2018 2:07:37 PM","6/11/2021 12:42:00 PM","CN=MSO ALLSCRIPTS SUPPORT,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/MSO ALLSCRIPTS SUPPORT"
"Network Configuration Operators",,"Security","DomainLocal","","S-1-5-32-556","","Members in this group can have some administrative privileges to manage configuration of networking features","7/11/2011 12:29:37 PM","5/19/2021 4:18:52 PM","CN=Network Configuration Operators,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/Network Configuration Operators"
"MSO VPN SIERRA DRIVE MAPPING",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-5888","","VPN RDS access w/ drive mapping for Sierra employees","3/15/2018 10:33:56 AM","8/16/2021 7:54:35 AM","CN=MSO VPN SIERRA DRIVE MAPPING,OU=Pulse VPN,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/Pulse VPN/MSO VPN SIERRA DRIVE MAPPING"
"MTS_OPT_RDP_PROD_TEST",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-6067","","TESTING DEPLOYING .RDP files","8/2/2018 1:49:25 PM","8/16/2021 7:54:35 AM","CN=MTS_OPT_RDP_PROD_TEST,OU=MTS_OPT,OU=MTS SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/MTS SECURITY GROUPS/MTS_OPT/MTS_OPT_RDP_PROD_TEST"
"USON IT LOCAL ADMIN",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8212","","","2/17/2020 3:21:04 PM","9/27/2021 1:33:30 PM","CN=USON IT LOCAL ADMIN,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON IT LOCAL ADMIN"
"Performance Monitor Users",,"Security","DomainLocal","","S-1-5-32-558","","Members of this group have remote access to monitor this computer","7/11/2011 12:29:37 PM","5/19/2021 4:18:52 PM","CN=Performance Monitor Users,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/Performance Monitor Users"
"3150 Radiation Oncology",,"Security","Global","Wil Admin","S-1-5-21-2571279217-2041782082-3149958405-5955","","3150 Radiation Oncology Folder","6/1/2018 10:26:44 AM","5/19/2021 4:19:06 PM","CN=3150 Radiation Oncology,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/3150 Radiation Oncology"
"scantoemail",,"Distribution","Universal","Dax Admin","S-1-5-21-2571279217-2041782082-3149958405-6139","","","10/8/2018 3:14:21 PM","5/19/2021 4:19:08 PM","CN=scantoemail,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/scantoemail"
"Patient Assistance Program",,"Distribution","Universal","USON IT","S-1-5-21-2571279217-2041782082-3149958405-8670","","","2/27/2020 12:56:04 PM","9/17/2021 9:59:03 AM","CN=Patient Assistance Program,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Patient Assistance Program"
"Distributed COM Users",,"Security","DomainLocal","","S-1-5-32-562","","Members are allowed to launch, activate and use Distributed COM objects on this machine.","7/11/2011 12:29:37 PM","5/19/2021 4:18:52 PM","CN=Distributed COM Users,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/Distributed COM Users"
"USON TRIAGE",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-2081","","","7/27/2011 1:46:19 PM","9/23/2021 2:24:24 PM","CN=USON TRIAGE,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON TRIAGE"
"MDT RDP",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8216","","","2/28/2020 4:26:43 PM","5/19/2021 4:19:26 PM","CN=MDT RDP,OU=Groups,OU=MDT,OU=SYSTEMS ACCOUNTS,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/SYSTEMS  ACCOUNTS/MDT/Groups/MDT RDP"
"MSO VPN OPT NG REMOTE APP",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-6576","","","5/13/2019 3:40:11 PM","5/28/2021 4:37:14 PM","CN=MSO VPN OPT NG REMOTE APP,OU=Pulse VPN,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/Pulse VPN/MSO VPN OPT NG REMOTE APP"
"Domain Computers",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-515","","All workstations and servers joined to the domain","7/11/2011 12:33:52 PM","5/19/2021 4:18:52 PM","CN=Domain Computers,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Domain Computers"
"PULMO PROVIDERS",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-5604","","","9/22/2017 11:03:21 AM","9/23/2021 2:24:24 PM","CN=PULMO PROVIDERS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/PULMO PROVIDERS"
"MSOSSRS_SystemAdministrator",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8218","","MSOSSRS Site Settings System Administrator","3/2/2020 8:52:05 AM","5/19/2021 4:19:17 PM","CN=MSOSSRS_SystemAdministrator,OU=MSOSSRS Site,OU=MSOSSRS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/MSOSSRS/MSOSSRS Site/MSOSSRS_SystemAdministrator"
"TestDistroGroup",,"Distribution","Universal","Dax Admin","S-1-5-21-2571279217-2041782082-3149958405-7130","","","6/11/2019 10:55:19 AM","5/19/2021 4:19:08 PM","CN=TestDistroGroup,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/TestDistroGroup"
"USON NURSE",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-2075","","","7/27/2011 1:42:28 PM","5/19/2021 4:19:06 PM","CN=USON NURSE,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON NURSE"
"MSOSSRS_SystemUser",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8219","","MSOSSRS Site Settings System User","3/2/2020 8:53:46 AM","5/19/2021 4:19:12 PM","CN=MSOSSRS_SystemUser,OU=MSOSSRS Site,OU=MSOSSRS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/MSOSSRS/MSOSSRS Site/MSOSSRS_SystemUser"
"Domain Guests",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-514","","All domain guests","7/11/2011 12:33:53 PM","5/19/2021 4:18:52 PM","CN=Domain Guests,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Domain Guests"
"MBAM Report Users",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-4520","","","5/14/2019 3:46:46 PM","5/19/2021 4:19:26 PM","CN=MBAM Report Users,OU=MBAM,OU=SYSTEMS ACCOUNTS,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/SYSTEMS  ACCOUNTS/MBAM/MBAM Report Users"
"OPT_Rpts_Browser",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8220","","May view folders, reports and subscribe to reports.","3/2/2020 9:06:20 AM","9/14/2021 7:13:20 AM","CN=OPT_Rpts_Browser,OU=MSOSSRS Reports,OU=MSOSSRS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/MSOSSRS/MSOSSRS Reports/OPT_Rpts_Browser"
"RAS and IAS Servers",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-553","","Servers in this group can access remote access properties of users","7/11/2011 12:33:53 PM","5/19/2021 4:18:52 PM","CN=RAS and IAS Servers,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/RAS and IAS Servers"
"OPT_Rpts_ContentManager",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8221","","May manage content in the Report Server. This includes folders, reports and resources.","3/2/2020 9:06:55 AM","5/19/2021 4:19:17 PM","CN=OPT_Rpts_ContentManager,OU=MSOSSRS Reports,OU=MSOSSRS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/MSOSSRS/MSOSSRS Reports/OPT_Rpts_ContentManager"
"IT Admins",,"Distribution","Universal","IT SUPPORT","S-1-5-21-2571279217-2041782082-3149958405-6529","","IT Manager & Admins","3/21/2019 11:59:26 AM","9/17/2021 9:54:51 AM","CN=IT Admins,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/IT Admins"
"OPT_Rpts_MyReports",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8222","","May publish reports and linked reports; manage folders, reports and resources in a users My Reports folder.","3/2/2020 9:07:51 AM","8/16/2021 7:54:35 AM","CN=OPT_Rpts_MyReports,OU=MSOSSRS Reports,OU=MSOSSRS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/MSOSSRS/MSOSSRS Reports/OPT_Rpts_MyReports"
"Incoming Forest Trust Builders",,"Security","DomainLocal","","S-1-5-32-557","","Members of this group can create incoming, one-way trusts to this forest","7/11/2011 12:33:53 PM","5/19/2021 4:18:52 PM","CN=Incoming Forest Trust Builders,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/Incoming Forest Trust Builders"
"OMS Medical Records",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-4664","","HIM Folder company Share","9/27/2018 9:24:49 AM","9/8/2021 12:29:43 PM","CN=OMS Medical Records,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/OMS Medical Records"
"OPT_Rpts_Publisher",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8223","","May publish reports and linked reports to the Report Server.","3/2/2020 9:08:21 AM","8/16/2021 7:54:35 AM","CN=OPT_Rpts_Publisher,OU=MSOSSRS Reports,OU=MSOSSRS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/MSOSSRS/MSOSSRS Reports/OPT_Rpts_Publisher"
"Users",,"Security","DomainLocal","","S-1-5-32-545","","Users are prevented from making accidental or intentional system-wide changes. Thus, Users can run certified applications, but not most legacy applications","7/11/2011 12:29:37 PM","5/19/2021 4:18:52 PM","CN=Users,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/Users"
"OPT_Rpts_ReportBuilder",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8224","","May view report definitions.","3/2/2020 9:08:55 AM","8/16/2021 7:54:35 AM","CN=OPT_Rpts_ReportBuilder,OU=MSOSSRS Reports,OU=MSOSSRS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/MSOSSRS/MSOSSRS Reports/OPT_Rpts_ReportBuilder"
"DHCP Administrators",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-1108","","Members who have administrative access to DHCP service","7/11/2011 12:44:43 PM","5/19/2021 4:19:10 PM","CN=DHCP Administrators,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/DHCP Administrators"
"Domain Users","1","Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-513","","All domain users","7/11/2011 12:33:53 PM","5/19/2021 4:18:52 PM","CN=Domain Users,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Domain Users"
"MSOSSRS_HomeBrowser",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8225","","May View Home folder","3/2/2020 9:57:02 AM","9/10/2021 11:03:09 AM","CN=MSOSSRS_HomeBrowser,OU=MSOSSRS Reports,OU=MSOSSRS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/MSOSSRS/MSOSSRS Reports/MSOSSRS_HomeBrowser"
"USON VPN FULL TIME REMOTE",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-5512","","VPN Access for Full Time Remote Employees (Longer Sessions/Dual Monitors)","8/8/2017 1:00:22 PM","5/19/2021 4:19:14 PM","CN=USON VPN FULL TIME REMOTE,OU=Pulse VPN,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/Pulse VPN/USON VPN FULL TIME REMOTE"
"USON_Rpts_MyReports",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8228","","May publish reports and linked reports; manage folders, reports and resources in a users My Reports folder.","3/2/2020 10:12:20 AM","5/19/2021 4:19:12 PM","CN=USON_Rpts_MyReports,OU=MSOSSRS Reports,OU=MSOSSRS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/MSOSSRS/MSOSSRS Reports/USON_Rpts_MyReports"
"Guests",,"Security","DomainLocal","","S-1-5-32-546","","Guests have the same access as members of the Users group by default, except for the Guest account which is further restricted","7/11/2011 12:29:37 PM","5/19/2021 4:18:52 PM","CN=Guests,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/Guests"
"WinRMRemoteWMIUsers__",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-7173","","Members of this group can access WMI resources over management protocols (such as WS-Management via the Windows Remote Management service). This applies only to WMI namespaces that grant access to the user.","8/14/2019 12:13:55 PM","5/19/2021 4:19:08 PM","CN=WinRMRemoteWMIUsers__,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/WinRMRemoteWMIUsers__"
"USON_Rpts_ReportBuilder",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8230","","May view report definitions.","3/2/2020 10:13:06 AM","5/19/2021 4:19:12 PM","CN=USON_Rpts_ReportBuilder,OU=MSOSSRS Reports,OU=MSOSSRS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/MSOSSRS/MSOSSRS Reports/USON_Rpts_ReportBuilder"
"Cryptographic Operators",,"Security","DomainLocal","","S-1-5-32-569","","Members are authorized to perform cryptographic operations.","3/9/2013 7:44:46 PM","5/19/2021 4:18:52 PM","CN=Cryptographic Operators,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/Cryptographic Operators"
"USON_Rpts_Browser",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8226","","May view folders, reports and subscribe to reports.","3/2/2020 10:11:44 AM","5/19/2021 4:19:15 PM","CN=USON_Rpts_Browser,OU=MSOSSRS Reports,OU=MSOSSRS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/MSOSSRS/MSOSSRS Reports/USON_Rpts_Browser"
"R-MDT-Admin",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-7660","","MDT administrators","7/26/2019 3:37:01 PM","5/19/2021 4:19:26 PM","CN=R-MDT-Admin,OU=Role,OU=Groups,OU=MDT,OU=SYSTEMS ACCOUNTS,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/SYSTEMS  ACCOUNTS/MDT/Groups/Role/R-MDT-Admin"
"Allowed RODC Password Replication Group",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-571","","Members in this group can have their passwords replicated to all read-only domain controllers in the domain","3/9/2013 7:44:46 PM","5/19/2021 4:18:52 PM","CN=Allowed RODC Password Replication Group,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Allowed RODC Password Replication Group"
"USON_Rpts_Publisher",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8229","","May publish reports and linked reports to the Report Server.","3/2/2020 10:12:37 AM","5/19/2021 4:19:12 PM","CN=USON_Rpts_Publisher,OU=MSOSSRS Reports,OU=MSOSSRS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/MSOSSRS/MSOSSRS Reports/USON_Rpts_Publisher"
"P-SHR-MDT Captures_Edit",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-7657","","","7/25/2019 4:57:59 PM","5/19/2021 4:19:12 PM","CN=P-SHR-MDT Captures_Edit,OU=Permissions,OU=Groups,OU=MDT,OU=SYSTEMS ACCOUNTS,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/SYSTEMS  ACCOUNTS/MDT/Groups/Permissions/P-SHR-MDT Captures_Edit"
"Performance Log Users",,"Security","DomainLocal","","S-1-5-32-559","","Members of this group have remote access to schedule logging of performance counters on this computer","7/11/2011 12:29:37 PM","5/19/2021 4:18:52 PM","CN=Performance Log Users,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/Performance Log Users"
"USON_Rpts_ContentManager",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8227","","May manage content in the Report Server. This includes folders, reports and resources.","3/2/2020 10:11:58 AM","5/19/2021 4:19:12 PM","CN=USON_Rpts_ContentManager,OU=MSOSSRS Reports,OU=MSOSSRS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/MSOSSRS/MSOSSRS Reports/USON_Rpts_ContentManager"
"MSO Coding Team",,"Distribution","Universal","Crystal Pfersching","S-1-5-21-2571279217-2041782082-3149958405-7137","","","7/18/2019 10:12:32 AM","5/19/2021 4:19:08 PM","CN=MSO Coding Team,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/MSO Coding Team"
"Enterprise Read-only Domain Controllers",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-498","","Members of this group are Read-Only Domain Controllers in the enterprise","3/9/2013 7:44:47 PM","5/19/2021 4:18:52 PM","CN=Enterprise Read-only Domain Controllers,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Enterprise Read-only Domain Controllers"
"MSO SECURITY ADMINS",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8672","","","3/3/2020 4:03:19 PM","5/19/2021 4:19:26 PM","CN=MSO SECURITY ADMINS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/MSO SECURITY ADMINS"
"P-SRV-MDT_Admin",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-7149","","Local Administrator perm on MSOITMDT01","7/25/2019 4:04:24 PM","5/19/2021 4:19:08 PM","CN=P-SRV-MDT_Admin,OU=Permissions,OU=Groups,OU=MDT,OU=SYSTEMS ACCOUNTS,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/SYSTEMS  ACCOUNTS/MDT/Groups/Permissions/P-SRV-MDT_Admin"
"MSO COVID19 RDS 2016",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8241","","Temp Pulse Connection to RDS 2016 CB","3/16/2020 3:52:10 PM","9/24/2021 8:44:45 AM","CN=MSO COVID19 RDS 2016,OU=Pulse VPN,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/Pulse VPN/MSO COVID19 RDS 2016"
